 summons, call	citatio
abased	deminui
abased	deminutus
abasement	deminutio
abasement	deminutionis
abasements	deminutiones
abases	deminuit
abases	frangit
abases	minuit
abash	perturbare
abashed	perturbatus
abashes	perturbat
abashing	perturbans
abashment	perturbatio
abashment	perturbationis
abasing	deminuens
abasing	frangens
abasing	minuens
abate	minuere
abated	cecidi
abated	imminui
abated	remissi
abatement	remissio
abatements	remissiones
abates	cadit
abates	imminuit
abates	remittit
abating	cadens
abating	imminuens
abating	remittens
abbe	abbas
abbe	abbatis
abbey	abbatia
abbey	monasterium
abbey, monastery	abbatia
abbeys	abbatiae
abbot	abbas
abbot	abbatis
abbot	prepositus
abbot's mitre	diadema
abbots	abbates
abbreviate	curto
abbreviate	imminuare
abdicate	abdicare
abdicate	abdico
abdomen	abdomen
abdomen	venter
abdomen	ventris
abduct	rapiere
abduction	raptus
aberration	error
abet	adiuvare
abetter	instigator
abhor	abhorrere
abhor	abominor
abhorrence	odium
abhorrent	perosus
abide	commoror
abide	converso
abide	habito
abide	mansurus
abide	patior
abide	possideo
abide	resideo
abide by	maneo
abide by strictly	persevero
ability	facultas
ability	potestas
abject	abjectus
ablaze	ardens
able	ingeniosus
able	polleo
able	potens
able	valens
able	validus
able, mighty, powerful, strong	potens
able, talented /neturally fit, adapted	ingeniosus
abode	domus
abolish	aboleo
abominable	dirus
abominable	nefandus
abominably	diriter
abominate	abominor
abound	exubero
abound	exundo
abound in	exubero
abound in	prodigus
abounding in	abundans
abounding in	celebrus
abounding in chalk	cretosus
abounding in, rich in, much frequented	celebrus
about	de
about	erga
about	fere
about	ferme
about	inter
about	super
above	summus
above	super
above	superior
above	superne
above	supernus
above	superus
above	supra
above	supremus
above, superior	supernus
abridged	arto
abridgement, summary	epitoma
abridgement, summary	epitome
abridgment	epitoma
abridgment	epitome
abroad	foris
absent	absens
absent	absentis
absent	deesse
absent	defui
absent	desum
absent oneself from	careo
absent, missing, away, gone	absens
absent, missing, away, gone	absentis
absolute ruler	tyrannus
abstinence	ieiunium
absurd	futurus
absurd	inconcinnus
abundamce, supply	copia
abundance	abundantia
abundance	affluencia
abundance	copia
abundance	facultas
abundance	fertilitas
abundance	opes
abundance	ubertas
abundance, bounty, plenty	abundantia
abundant	abundans
abundant	benignitas
abundant	uber
abundant supply	copia
abundant, overflowing, abounding in	abundans
abundantly	abunde
abundantly	uberte
abundantly provided	copiosus
abundantly supplied	exaggeratus
abuse	conculco
abuse	maledictio
abuse	probrum
abyss	abyssus
abyss	barathrum
abyss	profundum
abyss	vorago
accelerate	accelero
accelerate	propero
accept	accipio
accept	recipero
accept	suscipio
accept wholeheartedly	accredo
accessible	expositus
accessible	obvius
accident	casus
accident, chance, fortune	casus
accidental	casualis
accidental	fortuitus
accidentally	forte
accidentally	fortuito
accidentally	fortuitus
accidentally, by chance	fortuito
accidentally, by luck, casual	fortuitus
acclimate	consuefacio
accommodate oneself	accommodo
accompanied	comitatus
accompany	comito
accomplish	exsequor
accomplish	facesso
accomplish	impetro
accomplish	peracto
accomplish	perago
accomplish	perfeci
accomplish	perfectum
accomplish	perficio
accomplish	perpetro
accomplish	proficio
accomplished	artificiosus
accomplishment	factum
accord	placitum
accord, agreement, pact /assembly for judgment	placitum
accordant	conveniens
according to	prout
according to	secundum
according to classes	generatim
according to order	ordinarius
according to order, regular, ordinary	ordinarius
according to reason	consequens
according to the canons	canonicus
accordingly	ergo
accordingly	exinde
accordingly	secundum
accordingly, in an accordance with	secundum
accordingly, then, therefore	ergo
accost	congredior
account	ratio
account of slight value	floccipendo
accouterment	ornamentum
accumulate	accumulo
accumulate	exaggero
accumulated	exaggeratus
accumulation	exaggeratio
accurately	penitus
accurately	sagaciter
accurately, thoroughly, wholly, entirely	penitus
accursed	maleficus
accursed	sacer
accursed	scelerata
accursed	scelestus
accursed deed	scelus
accusation	ciminatio
accusation	crimen
accusation	criminatio
accusation	intentio
accusation	querela
accusation	querella
accusation	querimonia
accusation, calumny, charge	ciminatio
accusation, charge, calumny	criminatio
accuse	accuse
accuse	accuso
accuse	arguo
accuse	criminor
accuse	culpo
accuse falsely	calumnior
accused	reus
accuser	accusator
accuser	criminator
accusor, plaintiff	accusator
accustom	assuesco
accustom	consuefacio
accustom	consuesco
accustomed	solitus
accustomed to	suetus
accustomed, usual, habitual, ordinary, customary	solitus
achieve	perficio
achievement	adeptio
achievement	factum
acknowledge	agnosco
acknowledge	confessus
acknowledge	confiteor
acknowledge	profiteor
acorn	balanus
acorn, chestnut, date	balanus
acquainted with	gnarus
acquire	acquiro
acquire	adepto
acquire	adipiscor
acquire	usurpo
acquittal	liberatio
acre	ager
across	trans
act	actio
act	facio
act	factum
act a part	personam gero
act as a support	furcillo
act foolishly	desipio
act of kissing	basiatio
act of oath-taking	juramentum
acting unlawfully	injurius
action	commissio
action	facina
action	factum
active	impiger
active	practicus
active	strenuus
actively	impigre
actively	strenue
actor	ludio
actor	ludius
actor's mask	persona
actor's mask, part, role /character, personality	persona
actor,  player	ludio
actually	vel
actually	vere
actually?	etiam
actually? really? in truth?	etiam
acute	argutus
adamant	adamans
adamant	insuadibilis
adamant, immovable, not to be persuaded	insuadibilis
adapt	accommodo
adapt	adapto
adapt	commodo
adapt, adjust, make ready, or fit	adapto
adapted	ingeniosus
add	adaugeo
add	addo
add	adjicio
add	subinfero
add	subpono
add	suggero
add	suppono
add to a heap	accumulo
add together	consummo
adding up	consummatio
addition	eptheca
address	adicio
address	affatus
address	affor
address	aggredior
address	allocutio
address	alloquor
address	compello
address	oratio
adequate	sufficiens
adequately	sufficienter
adhere	adhaero
adhere	cohaero
adhere	cohero
adhere	cohesi
adhere	cohesum
adhere	inhaero
adhere to	inhaeresco
adhere to	inheresco
adj, similar	consimilis
adjacent	finitimus
adjacent	finitumus
adjoining	finitimus
adjust	accommodo
adjust	adapto
adjust	compono
administer	curo
administer	exerceo
administer	fungor
administer	infudi
administer	infundo
administer	infusum
administration	administratio
administration	cura
administration	exercitatio
administration	procuratio
administration of justice	iurisdictio
administration of justice, extent of competence	iurisdictio
administrator	executor
adminstrator, executive officer	executor
admirably	divinitus
admiration	admiratio
admire	admiror
admire	intueor
admire	miror
admit	admitto
admit	agnosco
admit	ascisco
admit	confessus
admit	confiteor
admit	fateor
admonish	admoneo
admonish	moneo
admonish	paecipio
admonish	praedico
admonish	predico
admonish, advise	admoneo
admonition	monitio
admonition	monitum
admonition, warning	monitio
adopt	adopto
adopt	ascisco
adopt as one's own	ascio
adorn	decoro
adorn	distinguo
adorn	excolo
adorn	exorno
adorn	extollo
adorn	glorifico
adorn	insignio
adorn	orno
adorned	ornata
adornment	ornatus
adroit	solers
adulator	adulator
adult	adultus
adv from incompositus; also incompositione	imcomposite
adv, afterwards	deinde
adv, certainly, at least, indeed	quidem
adv, just as, as if, like as	tanquam
adv, just so much, just as far as	tantundem
adv, piously, religiously	pie
adv, so, to such a degree	tam
adv, suitably	congrue
adv. a long while, long time, for a long time	diu
adv. suddenly, unexpectedly	subito
adv. too much, overmuch, excessively	nimis
advance	bellicum
advance	eo
advance	ire
advance	itum
advance	lenocinor
advance	procedo
advance	prodeo
advance	profectus
advance	profero
advance	proficio
advance	progredior
advance	progressio
advance	progressus
advance	promotum
advance	promoveo
advance	promovi
advance	proveho
advance, assist, help, aid, be of use	proficio
advance, go forward, appear, go forth	prodeo
advance, going forward, increase	progressus
advance, progress, increase	progressio
advanced	promutuus
advanced	provectus
advanced in age	provectus
advanced in years	provectus
advanced, advanced in age	provectus
advantage	commodum
advantage	oportunitas
advantage	opportunitas
advantage	usus
advantageous	salubris
advantageous	utilis
advantageously	salubriter
advent	adventum
adversity	adversitas
adversity	adversum
advertise	vendo
advertisement	proscriptio
advertisements	proscriptiones
advice	consilium
advice	consultum
advice, suggestion, wisdom, plan, purpose	consilium
advise	admoneo
advise	censeo
advise	consulo
advise	moneo
advise	monere
advise	monitum
advise	monui
advise	praecipio
advise	precipio
advise	suadeo
advised	monitus
advisor	consuasor
advisor, counselor	consuasor
advocate	altor
advocate	causidicus
aeris air	aer
affable	facilis
affair	rei
affair	res
affect	adficio
affect	contineo
affect	inflecto
affect	moti
affect	motum
affect	moveo
affect deeply	percuto
affectation	molestia
affected	vultuosus
affection	amor
affection	caritas
affectionate	affectuosus
affectionate	charus
affectionate	pius
affirm	autumo
affirm	firmo
affirm	protesto
affirm	protestor
affirm	retineo
afflict	adficio
afflict	contristo
afflict	ingravo
afflict	macto
affliction	plaga
affluence	affluencia
affluence	sufficientia
affluent	sufficiens
affluently	affluenter
affluently	sufficienter
affright	territo
afraid	formido
afresh	denuo
after	a
after	ab
after	abs
after	post
after	postquam
after	praeter
after	secundum
after that	exinde
after the fashion of	instar
after this	hinc
after, behind	post
after, behind	secundum
afternoon	meridianus
afterwards	deinde
afterwards	post modum
afterwards	postea
afterwards, presently, shortly	post modum
again	denique
again	denuo
again	iterum
again	rursus
again and again	etiam atque etiam
again and again	identidem
again and again	quater
again and again	saepenumero
again and again, repeatedly	identidem
again, a second time, once more	iterum
against	adversus
against	contra
against	in
against	obviam
against one's will	invitus
against whom he struggled	quas
against, opposite	econtra
age	aevum
age	saecula
age	saeculorum
age of youth (20-40 years)	juventus
aged	grandaevus
aged	provectus
aged	seneo
aged	senex
aged	senis
aged man	senilis
aged, old, advanced in years	provectus
agent	procurator
aggravate	exulcero
aggravate	ingravo
aggravate	tendo
aggressive	infensus
aggressive	infestus
aggressive, hostile, dangerous	infestus
agitate	concutio
agitate	permoveo
agitate	turbo
agitated	sollicitus
agitation	commotio
ago	abhinc
ago, back from now	abhinc
agree	acquiesco
agree	condico
agree	congruo
agree	consentio
agree to refer to arbitration	compromitto
agree upon	pango
agreeable	acceptus
agreeable	dulcis
agreeable	facilis
agreeable	iucundus
agreeable	libet
agreeable	suavis
agreeable, pleasant, gratifying	iucundus
agreeably	volup
agreeably, pleasantly	volup
agreed upon	compaciscor
agreed-upon	pactus
agreed-upon, stipulated, betrothed	pactus
agreeing	congruus
agreeing	conveniens
agreeing, fit, suitable	congruus
agreement	competentia
agreement	compositio
agreement	concordia
agreement	consensio
agreement	foederis
agreement	foedus
agreement	legis
agreement	lex
agreement	pactum
agreement	placitum
agreement, contract, covenant, pact	pactum
agreement, harmony, cooperation /plot, conspiracy	consensio
ah!	proh
aid	adiutorium
aid	adiuvo
aid	adminiculum
aid	adservio
aid	auxilium
aid	faveo
aid	iuvo
aid	praesidium
aid	proficio
aid	succurro
aid	suffragium
aid, help, assistance, support	auxilium
aim	calx
aim	intendo
aim	intentio
aim at	concupisco
aim at	intendo
aim at	specto
aimed	infensus
air, atmosphere, ether, weather	aer
air, atmosphere, ether, weather	aeris
aisle	andron
alarm	concutio
alarm	timor
alarmed	trepidus
alas	vae
alas!	heu
alb	alba
alder	alnus
alder tree	alnus
alert	erectus
alien	alienus
alienate	distraho
alienate	mancipo
alienation	abalienato
alienation	alienatio
alike	pariter
alike, at the same time, together	pariter
all	cunctus
all	omnis
all	quamtotius
all	quislibet
all	totus
all collectively	cunctus
all that	quicumque
all the way	usque
all the way, up (to), even (to)	usque
all together	toto
all together	universi
all togther, completely towards	toto
all, all collectively, the whole	cunctus
all, every	omnis
all-powerful	omnipotens
all-powerful, almighty, omnipotent	omnipotens
allay	sedo
allege	refer
allegiance	famulatus
alleviate	relevo
alleviation	fomentum
alleviation	lenimentus
alleviation	levamen
alleviation	levamentum
alleviation	levatio
alleviation, impreovement, mitigation	lenimentus
alleviation, mitigation, solace	levatio
alleviation, mitigation, solace, refreshment	levamen
alliance	amicitia
alliance	foedus
allied	socius
allied troops	alarius
allot	loco
allot	tribuo
allotment	sors
allow	annuo
allow	concedo
allow	exhibeo
allow	exibeo
allow	fateor
allow	permissi
allow	permissum
allow	permitto
allow	praebeo
allow	prebeo
allow	sino
allow	tribuo
allow, suffer, permit, let	sino
allowed	fas
allowed	licitus
allure	lacto
allure	pertraho
allure	prolecto
allured	illectus
allurement	blanditia
allurement	blanditium
allurement	illecebra
allurement	lenocinium
allurements	deliciae
allurements, charms, delights	deliciae
ally	foedero
ally	socius
almighty	omnipotens
almoner	elemosinarius
almoner, person in charge of providing charity	elemosinarius
almost	fere
almost	ferme
almost	paene
almost	pene
almost, about	ferme; fere
almost, near;y, not quite, generally	fere
alms	elemosina
aloft	sublime
alone	incomitatus
alone	securus
alone	singularis
alone	solum
alone	solus
alone	unus
alone of its kind	singularis
alone of its kind, solitary /machless, unique	singularis
alone, only	solum
alone, only, the only	solus
alone, unaccompanied, without followers	incomitatus
along	per
along that path	illac
aloud	viva voce
already	iam
also	adhuc
also	autem
also	etiam
also	morsus
also	quoque
also foot	crur
also foot	cruris
also used by nuns to describe themselves	ancilla
also, too	quoque
altar	ara
altar /refuge, protection	ara
alter	muto
alter	novo
alteration	mutatio
alteration	transitus
alteration	vicissitudo
altercation	iurgium
altered	mutatus
alternating speeches	alternis sermonibus
alternation	vicissitudo
although	cum
although	etiamsi
although	etsi
although	licet
although	quamquam
although	quamvis
although	tametsi
altogether	omnino
altogether	undique
altogether, entirely, wholly, certainly	omnino
always	juge
always	semper
always	usquequaque
always, ever	semper
amass	accumulo
amass	conglobo
amazement	exstasis
amazing	prodigiosus
amazingly	prodigialiter
amazingly, wonderfully	prodigialiter
ambassador	legatus
ambassador	orator
amber	electrum
amber	lacrima Heliandum
ambiguity	duplicitas
ambition	cupiditas
ambition, avarice, party spirit, eager desire	cupiditas
amble	spatior
ambush	dolus
ambushes	insidiae
ameliorate	mitesco
amelioration	consolatio
amend	emendo
amercement	miseratio
amicably	amicabiliter
among	apud
among	inter
among many other meanings	conduco
among, in the presence of, at	apud
ample	amplus
ample	spatiosus
amputate	seco
amputate	sectum
amputate	secui
amulet	phylacterium
an accusation, charge / fault, guilt	crimen
an addition	eptheca
an age	aetas
an age, stage, period of life, time, era	aetas
an announcement	editio
an arbitrator	compromitto
an arched sallyport	forix
an arched sallyport	fornicis
an attack, assault / efforts, impulses	incursus
an attendant of a nobleman	stipator
an embracing, surrounding, loving embrace	amplexus
an enemy of the state	hostis
an entering /beginning	ingressio
an eruption, bursting forth / sally, attack	eruptio
an establishment of slaves	famulatus
an exaggerator, informer	quadruplator
an excavation	fossio
an invoking	invocatio
an oak grove, and oak forest	quercetum
an opening	aperito
an opening	apertio
an oral statement	viva vox
an ounce	uncia
an outlet /seepage	effluvium
an overly full stomach	cruditas
an overturning, destruction, ruin	eversio
ancestor	atavus
ancestor	originis
ancestor	origo
ancestor	progenitor
ancestors	maiores
ancestors	priores
ancient	altus
ancient	antiquus
ancient	priscus
ancient	pristinus
ancient, antique, former, old days, venerable	priscus
ancient, old, hoary	antiquus
ancients	antiquitas
and	et
and	itaque
and	quod
and also	necnon
and furthermore	etiam
and indeed	sed
and not	nec
and not	neque
and not yet	necdum
and not yet	necdum (neque dum)
and not, nor	neque nec
and so	ita
and so; (with adj. or adv.) so	ita
and then	tunc
and yet	atqui
and yet	quamquam
and yet ... not	nec tamen
and yet not	nec tamen
and yet, still	atqui
and, but, now	quod
and, so, therefore	itaque
anew	denuo
anew, again, a second time, afresh	denuo
angel	angelus
anger	ira
anger, wrath	ira
angered	turbatus
angered, exasperated/ disturbed, restless	turbatus
Angles	Angli
angry	iratus
angry, wrathful	iratus
anguish	acerbitas
animal	bestia
animal, beast	bestia
animate	vigoro
animation	alacritas
anise	anethum
ankle	talus
ankle bone	talus
annihilate	adnihilo
annihilate	annullo
annihilate	corrumpo
annihilate	deleo
annihilation	letum
annotations	notitia
announce	denuncio
announce	denuntio
announce	edico
announce	indico
announce	intimo
announce	nuntio
announce	pronuntio
announce	refer
announce	renuntio
announce before hand	praenuntio
announce before hand	prenuntio
announce officially	denuntio
annoy	aggravo
annoy	laedo
annoy	ledo
annoy	punctum
annoy	pungo
annoy	pupugi
annoy	vexo
annoyalce, troublesomeness /stiffness	molestia
annoyance	molestia
annoying	incommodo
annoying	molestus
annual render	census
annul	aboleo
annul	abrogo
annul	casso
annul	infectum reddere
annul	infirmo
annul	rumpo
anoint	delibuo
another	alia
another	aliud
another	alius
answer	reddo
answer	refero
answer	respondeo
answer	respondi
answer	responsum
answer for	praesto
answer for	presto
answerable	reus
answering letter	responsiva
ant	formica
anticipate	praecipio
anticipate	praefero
anticipate	praesumo
anticipate	praevenio
anticipate	precipio
anticipate	prefero
anticipate	presumo
anticipate, carry by, ride by	praefero
antique	priscus
anull	induco
anxiety	metus
anxiety	sollicitudo
anxious	erectus
anxious	intentus
anxious	sollicitus
anxiously	sollicite
anxiously, worriedly	sollicite
any	quislibet
any	ullus
any (one, thing, etc.) available	quicumque
any available	quicumque
any drapery	pallium
any whatever	qualiscumque
anybody	quis
anybody	quislibet
anybody, whom you will, all, any	quislibet
anyone	aliquis
anyone	quilibet
anyone	quis
anyone	quispiam
anyone	quisquam
anyone, anybody, anything	quis
anyone, anything	quisquam
anyone, anything / someone, something	quispiam
anyone, anything, whatever (or whomever) you like	quilibet
anything	aliquis
anything	quilibet
anything	quis
anything	quispiam
anything	quisquam
anything at all	quicquid
anything at all	quisquis
anything eaten with bread	pulmentum
anything eaten with bread, sauce or relish	pulmentum
anything eaten with relish	pulmentum
anything eaten with sauce	pulmentum
anything made or reed -- pen, arrow, pipe, etc	calamus
anything that	quaecumque
anything that	quicumque
anything that	quodcumque
anywhere	usquam
apart	distinctus
apart	seorsum
apart, separately	seorsum
apathy	lentitudo
apathy	lethargus
aperture	foramen
aperture	foraminis
apex	cacumen
apparatus	supellectilis
apparatus	supellex
apparent	promptus
apparition	effigia
apparition	effigies
appeal	interpellatio
appear	appareo
appear	existo
appear	exorior
appear	exsisto
appear	exsto
appear	orior
appear	oriri
appear	ortus
appear	prodeo
appear	videor
appear vile	sordeo
appearance	exortus
appearance	facies
appearance	forma
appearance	vulticulus
appearance	vultus
appease	mitigo
appease	placo
appeased	placatus
appetite	orexis
appetite, desire	orexis
apple	pomum
apply	adfero
apply	adicio
apply	admoveo
apply	affero
apply	sumo
apply marl to the soil	maro
apply oneself	incumbo
appoint	constituo
appoint	destino
appoint	lego
appoint	monstro
appoint	ordino
appoint	prodo
appoint a person	appono
appoint ahead of time	praefinio
appoint ahead of time	prefinio
appointed	statutum tempus
apportion	distribuo
appositively	appositus
apprehend	comprehendo
apprehension	sollicitudo
approach	accedo
approach	adeo
approach	adpropinquo
approach	aggredior
approach	appropinquare
approach	appropinquo
approach	propinquo
approach	subeo
approach	succedo
approaching	appositus
appropriate	adsumo
appropriate	appositus
appropriate	aptus
appropriate	congruens
appropriate	congruus
appropriate	occupo
appropriate	rectus
appropriate	vindico
appropriate unlawfully	usurpo
appropriately	honeste
appropriately	ordine
appropriately	ordinem
approval	assensus
approval support	suffragium
approve	annuo
approve	approbo
approve	apto
approve	ascisco
approve	auctorizo
approve	probo
approve fully	comprobo
approve highly	collaudo
approved	exertus
approved	probatus
approximately	inter
approximately, about, around, roughly	inter
appurtenance	appenditia
aptitude	talentum
arbitrate	arbitro
arbitrate	arbitror
arc	arcus
arcade	forix
arcade	fornicis
arcade	ianus
arcade, covered passage	ianus
arch	arcus
arch	curvo
arch	forix
arch	fornicis
arch, vault / arcade / an arched sallyport	forix
arched	curvus
arched	fornicatus
arched	pandus
arched, bent, bowed, curved, crooked	curvus
arched, vaulted	fornicatus
ardent	animosus
ardent	igneus
ardor	ardor
are willing	sis
arena	pulvis
argue	censeo
argue	oro
argumentation	argumentatio
arid	exaresco
arise	cresco
arise	emanio
arise	emergo
arise	emersi
arise	emersum
arise	existo
arise	exsisto
arise	proficiscor
arise	proficuus
arise	surgo
arise	surrectum
