a lot of, much	ingi
journey, trip, voyage	safari
jug, box, container, vessel, vase	chombo
July	Julai
June	Juni
Kenya	Kenya
key, wrench	ufunguo
kilo	kilo
kilometer, kilometre	kilometa
king	mfalme
kingdom	ufalme
knee	goti
knife	kisu
Koran	Msahafu
lamp	taa
language, tongue	lugha
last	a mwisho
laziness	uvivu
lazy	vivu
leaf, sheet	jani
leg, paw, foot	mguu
length	urefu
leopard	chui
letter	barua
lie	uongo
life	maisha
light	nuru
light, fast, quick, rapid, speedy, swift	epesi
lightning	umeme
line	mstari
lion	simba
long, deep, profound	refu
loss	hasara
Lucifer, Satan	Ibilisi
mango	embe
mango tree, mango-tree	mwembe
March	Machi
mat, plaited mat	mkeka
mature, ripe	bivu
May	Mei
maybe, perhaps, possibly	labda
meaning	maana
measure, measurement, grade, rank, rate	cheo
meat	nyama
midday, noon	adhuhuri
milk	maziwa
millet	mtama
minute	dakika
mirror, glass	kioo
miserable, poor	maskini
Mohammedan, Moslem, Muslim, Mussulman	Mwislamu
Monday	Jumatatu
moon, month	mwezi
Moscow	Misko
mosquito	mbu
mother	mama
mouse	panya mdogo
my	angu
narrow, slender, slim	embamba
nearby	karibu
necessary	lazima
need	haja
needle	sindano
net, network	wavu
new, novel	pya
newness	upya
news, novelty, something new	habari
night	usiku
nine	kenda
nine	tisa
nineteen	kumi na kenda
nineteen	kumi na tisa
ninety	tisini
ninth	a kenda
ninth	a tisa
no, not	la
north, North	kaskazini
not at all	hata kidogo
November	Novemba
now and then	mara kwa mara
nurse	mlezi
occasion, time	mara
October	Oktoba
oil	mafuta
OK, okay, well	vema
OK, okay, well	vizuri
once, one time	mara moja
one	mosi
onion	kitunguu
or	au
orange	chungwa
orange tree, orange-tree	mchungwa
other, another, else	ingine
our	etu
owner	mwenyewe
palace	jumba
paper	karatasi
parent	mzazi
part, piece, share	sehemu
path, road, route, way	njia
patient	mgonjwa
pawn, soldier	askari
pencil, feather	kalamu
permission	ruhusa
Persia	Uajemi
person	mtu
pig	nguruwe
pipe	kiko
place, plaza, square, public square	mahali
please	tafadhali
Portugal	Ureno
Portuguese	Mreno
potato	kiazi
poverty	umaskini
progress	maendeleo
question	swali
quite, very, very much	sana
quite, very, very much, too, too much	mno
rabbit	kisungura
rain	mvua
Rajab	Rajabu
Ramadan	Ramadhani
rat	panya
rather, across, on the other side of	katikati
razor	wembe
reason	sababu
red	ekundu
Red Sea	Bahari ya Sham
respect	heshima
restaurant	mkahawa
rhino, rhinoceros	kifaru
rib	ubavu
rice	mpunga
rice, husked rice	mchele
rich, wealthy, well-off	tajiri
right, righthand	a kuume
river	mto
road, route, way	barbara
Roman	Mrumi
root	mzizi
sadness, sorrow	huzuni
salary, wage, wages	mshahara
salt	chumvi
school	chuo
school	shule
scorpion	nge
sea	bahari
second	a pili
seed	mbegu
self, herself, himself, itself	enyewe
September	Septemba
serpent, snake	nyoka
seven	saba
seventeen	kumi na saba
seventh	a saba
seventy	sabini
several times, sometimes	pengine
Sha'ban	Shaabani
sharpness	ukali
sheep	kondoo
shepherd	mchungaji
shoe	kiatu
shopkeeper	mwuza duka
short, brief	fupi
silver, money	fedha
sister	dada
six	sita
sixteen	kumi na sita
sixth	a sita
sixty	sitini
size	ukubwa
slave	mtumwa
sleep	usingizi
smallpox	ndui
smoke	moshi
smooth, soft	laini
soap	sabuni
son, child, offspring, young	mwana
song	wimbo
south	kusini
spider	buibui
spoon	kijiko
spoon, large spoon	mwiko
stomach	tumbo
stone	jiwe
stream	kijito
strong	enye nguvu
strong	imara
suffice	tosha
sugar	sukari
sugar-cane	muwa
sun	jua
Sunday	Jumapili
sweetness	utamu
Syria	Sham
table	meza
tail	mkia
Tanzania	Tanzania
tea	chai
ten	kumi
tenth	a kumi
thank you, thanks	asante
that, as, how, like, such as, if, provided that	kama
that, which, which one, who	nani
the day after tomorrow	kesho kutwa
the day before yesterday	juzi
their, her, his, its	ao
their, his, her, its	ake
them, they	wao
there, yonder	kule
there, yonder	mle
there, yonder	pale
therefore	kwa hiyo
thief	mwivi
thief	mwizi
thing, article, object	kitu
third	a tatu
thirteen	kumi na -tatu
thirteen	kumi na tatu
thirty	thelathini
thorn	mwiba
thou, you	wewe
though, although	ingawa
thought	wazo
thousand, one thousand	elfu
Thursday	Alhamisi
time	nafasi
time	wakati
tin-opener	kifungua kopo
tobacco	tumbako
today, to-day	leo
together	pamoja
tomato	nyanya
tomorrow	kesho
tongue	ulimi
tooth	jino
tooth-brush	mswaki
tortoise	kobe
traveler, traveller	msafiri
tree, pole, post, stanchion, stake, timber, wood	mti
tribe	kabila
Tuesday	Jumanne
twelve	kumi na -wili
twelve	kumi na mbili
twelve	thenashara
twenty	ishirini
two	mbili
two	pili
two	wili
two hundred	mia -wili
two hundred	mia mbili
Uganda	Uganda
ulcer, sore	kidonda
umbrella	mwavuli
uncle	baba mdogo
uncle	mjomba
United States of America, USA	Ulaya wa Waamerikani
unity	umoja
university	chuo kikuu
unripe	bichi
until	hata
us, we	sisi
vegetable	mboga
village	kijiji
volcano	volkeno
wall	ukuta
water	maji
wax	nta
Wednesday	Jumatano
week	juma
week	wiki
well	kisima
well	shimo
west, West	magharibi
what	nini
what kind of, what sort of	gani
what kind of?	gani?
what?	nini?
wheat	ngano
when	lini
when?	lini?
where	wapi
where?	wapi?
wherever	mahali po pote
who?	nani?
who?	pi?
widow	mjane
wife	mke
wind	upepo
wing	ubawa
wisdom	ujinga
without	bila
without	pasipo
woman	mwanamke
word	neno
world	ulimwengu
year	mwaka
yes	naam
yes	ndiyo
yesterday	jana
you	ninyi
youngster, youth	kijana
your	ako
your	enu
Zanzibar	Unguja
zebra	punda milia
