a body	en kropp
ageing	åldrande
agencies	företag och organisationer
agency	agentur
agenda	agenda
agenda	dagordning
agent, proxy, attorney, representative, attorneys	ombud
agglomerate, amass	hopa
aggravate	försvåra
aggravation	försvårande
aggregate	aggregat
aggregate, entire, out-and-out, total, overall	total
aggregation	sammanhopning
aggression	övergrepp
aggressive war	anfallskrig
aggressiveness	agressivitet
aggrieve, distress, harass, pain, pester, afflict	plåga
aggrieved	sårad
Aghan	Aghan
aghast, amazed, dismayed	bestört
agile, nimble	vig
agility	vighet
agitate, canvass	agitera
agitation	alteration
agitation	sinnesrörelse
aglow, incandescent, fervid	glödande
agnostic	agnostiker
agonize, torment, torture, pain, tantalize, agony	pina
agonized	ångestfull
agonized, desperate, miserable	förtvivlad
agonizing	kvalfull
agony	dödsångest
agony	vånda
agrarian	jord-
agree	överenskomma
agree, agrees	godkänner
agree, tally	överensstämma
agreeable, pleasant	angenäm
agreed	höll med
agreed	överens
agreed	överrenskommet
agreement, deal, convention	överenskommelse
agreements, conventions	överenskommelser
agression	aggression
agricultural	jordbruks
agriculture	lantbruk
agriculture	åkerbruk
agriculture, farming, husbandry	jordbruk
agronomy	agronomi
aground	på grund
ahoy	ohoj
aileron	skevningsroder
ailing, infirm, distempered, morbid, unhealthy	sjuklig
ailment	krämpa
aim	syfte
aim at	rikta mot
aim at	sikta mot
aim at	trakta efter
aim at	åsyfta
aim, sight, view	sikte
aim, winning-post, target, goal, goals, idiom	mål
aimed	inriktat
aimless	planlös
air	luft
air	lufta
air-base	flygbas
air-bed	luftmadrass
air-brake	lufttrycksbroms
air-conditioned	luftkonditionerad
air-conditioning	luftkonditionering
air-current	luftström
air-cushion	luftkudde
air-defence, flak	luftvärn
air-duct	luftkanal
air-force, airforce	flygvapen
air-hostess	flygvärdinna
air-launch, protrude	skjuta ut
air-pcket, air-pocket	luftgrop
air-pressure	lufttryck
air-raid	flyganfall
air-route	flygled
air-sick	flygsjuk
air-sickness	flygsjuka
air-taxi	lufttaxi
air-tight, airproof	lufttät
airborne	flygburen
airgun, air-rifle	luftgevär
airing	vädring
airleron	skevroder
airless	vindstilla
airlift	luftbro
airline	flyglinje
airliner	trafikflygplan
airlock	luftblåsa
airmail	flygpost
airport	flygplats
airshaft, ventilating	lufttrumma
airship	luftskepp
airspeed	flygfart
airstrip	landningsbana
airtight	lufttäta
airway	luftled
airworthy	flygduglig
airy	luftig
ajar	på glänt
akimbo	med händerna i sidan
akin, connate, related, congenial, congenerous	besläktad
alabaster	alabaster
alacrity	beredvillighet
alarm bell	alarmklocka
alarm-clock	väckarklocka
alarming	oroväckande
alarming, disquieting, disquiet	oroande
alarms, alarm, hubbub	alarm
alas	ack
Albania	Albanien
Albanian	alban
albatross	albatross
albeit	ehuru
albumin	albumin
albums	album
alchemist	alkemist
alchemy	alkemi
alcohol	alkohol
alcohol-related	alkoholrelaterad
alcoholism	alkoholosm
alcove	alkov
alder	al
alderman	rådman
alert person	rörlig person
alert, lively	alert
alerted	varnade
alexandrian	alexandrinsk
alfalfa	blålusern
alga	alg
algebra	algebra
algebraic	algebraiskt
algeria	algeriet
algerian	algerier
algorithm	algoritm
algorithms	algoritmer
alibi	alibi
alien, visitors, strange, guest, outlandish	främmande
alienate	fjärma
alienation	alienation
alienation	fjärmande
alienist	psykiater
alight	stiga av
alighting	avstigning
align	upprada
aligning	uppradning
alignment	placering i linje
alignment, arrangement	uppställning
aligns	uppradar
alike, similarly, resembling, similar	liknande
alimony	underhållsbidrag
alkaline	alkalisk
alkaloid	alkaloid
all	all
all	allt
all	samtliga
all along	utefter
all the better	desto bättre
all, everything	allting
all-embracing	allomfattande
all-in	alltomfattande
all-round	allsidig
all-round	runt omkring
all-rounder	mångsidig begåvning
alleged, ostensible	påstådd
allegorical, allegoric	allegorisk
allegory	allegori
allegro	allegro
alleluia	halleluja
allergen	allergen
allergic	allergisk
allergies	allergier
allergy	allergi
alleviate, mitigate	mildra
alleviation, relief	lättnad
alley, lane, alleyway, alley-way	gränd
allfix, add	tillägga
alliance, bond, connection, undertaking	förbindelse
allied	allierad
allied to	allierad med
alligator	alligator
alliteration	allitteration
allocated	tilldelat
allocates	tilldelar
allocation	tilldelning
allocations, assignments	tilldelningen
allotment	fördelning
allow oneself something	unna sig något
allowable	tillåtna
alloy	legering
allspice	kryddpeppar
allude to	anspel
allude, hint at	hänsyfta på
alluring, appealing	lockande
allusion	anspelning
alluvial	svärm-
ally	bundförvant
almond	mandel
almoner	sjukhuskurator
almost, nigh, nearly	nästan
alms	allmosa
almshouse	ålderdomshem
aloe fibre	aloehampa
aloft	högt upp
alone	allena
alone, lonesome, unaided, desolate, lonely	ensam
along	längs
along	utmed
along, together, altogether, in all	tillsammans
alongside	långsides
aloof	på avstånd
alp	högfjäll
alphabet	alfabet
alphabetical, alphabetic, abecedarian	alfabetisk
alphabetically	alfabetiskt
alphabets	alfabeten
alphanumeric	alfanumerisk
alpine	alpin
Alps	Alperna
already	redan
Alsatian	schäfer
also	likaså
also, even, too	även
also, summon, as well, too	tillika
also, with	med
also-ran	oplacerad häst
altar	altare
altar-boy	korgosse
altar-piece	altartavla
alter	ändra sig
alter ego	alter ego
alter, change, redirect	ändra
alteration	förändring
altered, rewritten	ändrat
altering, transform	förändra
alternat	omväxlande
alternate, interchange	omväxla
alternately	växelvis
alternately, alternatively	alternativt
alternating current	växelström
alternation, shunt	växling
alternation, variation, change	omväxling
alternatives, alternative	alternativ
alternator	växelströmsgenerator
althorn	althorn
although, though	fastän
altimeter	höjdmätare
altitude	altitud
altitude	höjdnivå
alto	altstämma
altogether	alltsammans
altogether, in all	inalles
altruism	altruism
altruistic	altruistisk
alum	alun
aluminium, aluminum	aluminium
alveolus	alveol
am, is	är
amalgemate, compound, shuffle, mingle, mix	blanda
amaryllis	amaryllis
amateur	amatör
amateurish	amatörmässig
amateurism	amatörskap
amateurs	amatörers
amaze, stupefy, flabbergast	förbluffa
amazement	häpenhet
amazingly, incredibly	otroligt
Amazon	amason
ambasador	ambasadör
ambassador	ambassadör
ambassadress	kvinnlig ambassadör
amber	bärnsten
ambergis	ambra
ambiguity	tvetydighet
ambiguous, equivocal	tvetydig
ambition	ärelystnad
ambitious	äregirig
ambitious	ärelysten
ambulance	ambulans
ambush, ambush	bakhåll
amelioration, enhancement	förbättring
amen	amen
amenable, accomodating, accommodating	medgörlig
amended	korrigerat
amendment	rättelse
Amenia	armenien
Amenian	armenisk
amenity	behaglighet
America	Amerika
American	amerikansk
american-made	amerikatillverkade
americanize	amerikanisera
amethyst	ametist
amiability, amicability, friendship	vänskap
amicable	vänskaplig
amidships	midskepps
amine	amin
amino acid	aminosyra
amity, cocord	sämja
ammeter	amperemeter
ammeter	amperemätare
ammo, ammunition, munition	ammunition
ammonia	ammoniak
ammonite	ammonit
ammonium	ammonium
amnesia	amnesi
amnesty	amnesti
amnesty	benådning
amniotic	fostervatten
amoeba	amöba
amoral	amoralisk
amorality	amoralitet
amorous	amorös
amorphous	amorf
amortization	amortering
amortize	amortera
amount	belopp
amount to	belöpa sig till
amount to	uppgå till
amount, counts, number	antal
amount, sum, aggragate, total	summa
amounts	summor
amp, ampere	ampere
amphetamine	amfetamin
amphibian	amfibie
amphibian	amfibieflygplan
amphibious	amfibisk
amphitheatre	amfiteater
amphora	amfora
ample, compact, bumptious, lasting	dryg
amplifier	förstärkare
amplify, reinforce, augmented, fortify	förstärka
amplitude	amplitud
amplitude, extent, width	vidd
amply	rikligt
ampoule	ampull
amputate	amputera
amputated	amputerat
amputation	amputation
amputation	amputering
amuck	löpa amok
amulet	amulett
amuse, entertain	roa
amused	road
amusement	förlustelse
amuses	roar
Anabaptist	anabaptist
anabolic	anabol
anachronism	anakronism
anachronistic	anakronistisk
anaconda	anakonda
anactment	upphöjande till lag
anaemia	anemi
anaemic	anemisk
anaemic	blodbrist
anaerobe	anaerob
anaesthesia	anestesi
anaesthetic	anestetikum
anaesthetic	bedövningsmedel
anaesthetize	söva ner
anaesthetize, stupefy, daze, stun	bedöva
anagram	anagram
analasis, analysis	analys
analgesic	analgetikum
analgesic	stillande
analogic, analogical	analogisk
analogous	analog
analogy	analogi
analyst, analyser, analyzer	analytiker
analytical	analytisk
analytically	analytiskt
analyze, analyse	analysera
analyzes	analyserar
anamnesis	anamnes
anapest	anapest
anarchical, anarchic	anarkistisk
anarchism	anarkismen
anarchist	anarkist
anarchists	anarkister
anarchy	anarki
anasthesia, anaesthesia	bedövning
anastigmat	anastigmat
anathema	anatema
anathema	bannlysning
anatomical	anatomisk
anatomist	anatom
anatomize	dissekera
anatomy	anatomi
ancestor	anfader
ancestor	stamfader
ancestor, forefather, forbear	förfader
ancestors	förfäder
ancestral	fäderneärvd
ancestry	anor
ancestry, birth	börd
anchor	ankra
anchorage	förankring
anchorage, berth	ankarplats
anchovy	ansjovis
ancient	forntida
ancient lineage	anrik
and	och
and	samt
andalusia	andalusien
andante	andante
andes	anderna
androgenic	androgen
anecdote, anecdotee	anekdot
anemometer	anemometer
anemone	anemon
anemone	sippa
aneroid	aneoridbarometer
anew, again	ånyo
anexation, additions, supplement, addendum	tillägg
angel	ängel
angelic	änglalik
angels	änglar
anger, fury, fume, rage, dander	ilska
angina	angina
angle, crotch	vinkel
angle-iron	vinkeljärn
angles	vinklar
Anglican	anglikansk
Anglicans	anglikaner
Anglicize	anglisera
angling	metning
Anglo-american	angloamerikan
Anglo-french	engelsk-fransk
Anglo-saxon	anglosaxisk
Anglo-Saxon	anglosaxiska
Anglo-saxons	anglosaxerna
Anglo-swedish	engelsk-svensk
anglophile	englandsvän
anglophobe	engelskhatare
anglophobia	engelskfientlighet
angolan	angolan
angora wool	angoragarn
angostura	angostura
angry, rabid	arg
angry, wroth, knob	vred
anguish	ångest
anguished	ångestfylld
angular	vinkel-
anhydride	anhydrid
aniline dye	anilinfärg
aniline, anline	anilin
animadvert, remark with	anmärka på
animal	animal
animalcule	mikroskopiskt djur
animality	animalisk
animate	animera
animated	animerade
animations	animationer
animism	animism
animosity, hostility	fientlighet
anise	anis
ankle	ankel
ankle	fotled
ankle-length	ankellång
ankles	fotleder
annals	årsberättelse
anneal, mull	glödga
annex	tillbyggnad
annexation	anektering
annexe	annex
annihilate	förinta
annihilate	tillintetgöra
annihilation	tillintetgörelse
anniversary	årsdag
annotate	kommentera
annotation	anteckning
announce	anmäla
announce, promulgate	förkunna
announcement	anmälan
announcement, notifying	tillkännagivande
announcements	kungörelser
announcer	hallåman
announces	tillkännager
announcing	förkunnar
annoy, rile, irritate	irritera
annoys	förargar
annual	annuitet
annually, yearly	årligen
annuciation	bebådelse
annuity	livränta
annulment	annulering
anode	anod
anodyne	smärtstillande medel
anointed	de heliga
anomalous	anomal
anomaly	anomali
anomaly, digress, discrepancy, swerve, aberrancy	avvikelse
anomie	anomi
anon, soon	snart
anonymity	anonymitet
anonymously	anonymt
anorak	anorak
anorexia	anorexi
another's	en annans
anstigator	anstiftare
answer, instructions	besked
answerable, responsible, accountable, liable	ansvarig
answered	besvarade
ant	myra
ant-hill	myrstack
Antabuse	antabus
antagonism, resistance, resistance	motstånd
antagonist	antagonist
antagonistic, counteracting	motverkande
antagonize	egga upp
Antarctic	Antarktis
antecedent	korelat
antechamber, ante-room, anteroom	förrum
antedate, backdate	antedatera
antedate, predate	fördatera
antediluvian	från tiden före syndafloden
antelope	antilop
antenatal	mödravårdscentral
antenna	antenn (insekt)
antenna, aerial	antenn
antependium	altarkläde
antepenultimate	tredje från slutet
anterior, fore, front	främre
anthem	hymn
anthology	antologi
anthracite	antracit
anthrax	mjältbrand
anthropod	människoliknande
anthropological	antropologisk
anthropologist, anthropologist	antropolog
anthropology	antropologi
anthropomorphous	människolik
anthroposophist	antroposof
anti-aircraft, antiaircraft	luftvärns-
anti-ballistic	antirobot
anti-clockwise, counter-clockwise	motsols
anti-dazzle	avbländbar
anti-dumping	anti-dumpning
anti-hero	antihjälte
anti-jewish	judefientlig
anti-missile	antirobotrobot
anti-personel	sprängbomb
anti-pollution	miljövårdskampanj
anti-Semite	antisemit
anti-semitic	antisemitisk
anti-semitism	antisemitism
antibiotic	antibiotikum
antibody	antikropp
antic, jinks, spree, prank, antics, gambol, frisk	upptåg
anticipate, foresee	förutse
anticipate, occour, forestall	förekomma
anticipated	förutsåg
anticipates	förekommer
anticipating, expect	förvänta
anticipation	antecipation
anticipation, expectation	förväntan
anticlerical	antiklerikal
anticlimax	antiklimax
antidote	motgift
antidotes	motgifter
antifreeze	kylarvätska
antigay	böghatande
antigen	antigen
antilogarithm	antilogaritm
antimatter	antimateria
antimony	antimon
antiparticle	antipartickel
antipathy	antiparti
antipode, antipole	motpol
antipodes	antipoder
antiquarian	antikvarisk
antiquary	antiksamlare
antique	antik
antique	antikvitet
antique finish	antikbehandling
antique shop	antikvitetsaffär
antiquities	forntids
antiquity	antiken
antiquity	forntiden
antisepsis, antiseptic	antiseptisk
antistatic	antistatisk
antithesis	antites
antitoxin	antitoxin
antler	hjorthorn
antonym	antonym
antwerp	antwerpen
anus	analöppning
anus	anus
anvil	städ
anxiety	bekymmer
anxiety, oppression	beklämning
anxious about, careful of	mån om
anxious, oppressed	beklämd
anxious, restless, uneasy, apprehensive, turbulent	orolig
any	nån
any, some	några
anybody / anyone, anybody	vem som helst
anyhow	alltnog
anyhow	hur som helst
anyhow	i varje fall
anyone, someone, some, anybody, somebody	någon
anytime	närsomhelst
anyway	hursomhelst
anywhere	var som hest
anywhere, someplace, somewhere	någonstans
aorta	aorta
apache	apache
apanage	apanage
apart from, apart	isär
apartheid	apartheidpolitik
apartment	lägenhet
apatite	apatit
ape	människoapa
apeman	apmänniska
apennines	apennierna
aperture, orifice, slot, aperature, opening	öppning
apex	apex
apex	spetsen
aphorism	aforism
aphorisms	aforismer
aphrodisiac	afrodisiakum
aphrodite	afrodite
aplanatic lens	aplanat
aplomb, self-assureness	självsäkerhet
apnoea	apné
apocalypse, relevation	uppenbarelseboken
apocrypha	apokryfiska böcker
apocryphal	apokryfisk
apolexy, apoplectic, palsy	slaganfall
apollo	apollon
apologetic	ursäktande
apologies, excuses	ursäkter
apologize, allege	be om ursäkt
apologized	ursäktade
apology	apologi
apology	avbön
apology	försvarstal
apology, excuse	ursäkt
apostle	apostel
apostles	apostlarna
apostolic	apostolisk
apostrophe	apostrof
apothecary, druggist, chemist	apotekare
apotheos	kanonisera
appalling, horrible	ohygglig
apparatus	attiralj
