-a	egy
affirmation	megerôsítés
affirmation	jóváhagyás
affirmative	igenlô
affix	rag
affix	toldalék
affix	hozzáerôsít
affix	ráfog
afflict	kínoz (betegség)
afflict	elszomorít
affliction	szenvedés
affliction	nyomorúság
affluence	bôség
affluence	gazdagság
affluent	gazdag
affluent	bôséges
affluent	mellékfolyó
afford	módjában van
afford	megteheti
afford	nyújt
affordable	megengedhetô
affray	zavargás
affront	sértés
affront	megsért
affront	megszégyenít
aflame	lángoló
afloat	vizen
afloat	tengeren
afloat	elterjedve
aforementioned	fentemlített
aforesaid	fentemlített
aforethought	elôre megfontolt
afraid	fél
afresh	újra
Africa	Afrika
african	afrikai
after	hátsó
after	után
after	mögött
after	szerint
afterbirth	méhlepény
aftermath	sarju
aftermath	következmény
aftermath	utóhatás
afternoon	délután
afterwards	után
afterwards	késôbb
afterwards	azután
again	újból
again	újra
again	megint
again	ismét
against	ellen
against	szemben
age	kor
aged	koros
aged	korú
ageless	kortalan
ageing	öregedô
ageing	öregedés
agency	ügynökség
agency	tevékenység
agency	közbenjárás
agenda	napirend
agent	ügynök
agent	közeg
agents	hatóanyag
agglomerate	felhalmozott
agglomerates	felhalmoz
agglomeration	felhalmozódás
agglutinate	összeragaszt	
agglutinate	összeilleszt
aggravate	súlyosbít
aggravate	bosszant
aggravate	idegesít
aggravation	súlyosbítás
aggregate	összes
aggregate	adalékanyag
aggregate	csoportosul
aggression	támadás
aggressive	támadó
aggrieve	bosszant
aggrieved	megsértôdik
aghast	megdöbbent
agile	fürge
agile	gyors
agility	gyorsaság
agitate	mozgat
agitate	kever
agitate	felkavar
agitate	agitál
agitated	izgatott
agitated	zavaros
agitator	lázító
agitator	keverô(gép)
ago	elôtt
ago	ezelôtt
agonize	gyötrôdik
agonize	kinlódik
agonizing	gyötrelmes
agony	gyötrôdés
agony	haláltusa
agrarian	mezôgazdasági
agree	egyetért
agree	megegyezik
agree	egyezô
agree	egyeztet
agreeable	kellemes
agreed	megbeszélt
agreed	megállapított
agreement	megállapodás
agreement	egyezmény
agreement	szerzôdés
agreement	egyetértés
agricultural	mezôgazdasági
agriculture	mezôgazdaság
aground	zátonyon
ahead	elôre
ahead	elôbbre
ahead	tovább
aid	segítség
aid	segély
aid	segéderô
aid	segédeszköz
aid	segít
aid	támogat
AIDS	AIDS
ail	bánt
ailing	fájó
ailment	betegség
ailment	gyengélkedés
aim	cél
aim	célzás
aim	szándék
aim	ráirányít
aimless	céltalan
air	levegô
air	lég
air	arckifejezés
air-bed	gumimatrac
airborne	ejtôernyôs
aircraft	frepülôgép
airfield	repülôtér
airline	repülôjárat
airline	légitársaság
airliner	utasszállító repülôgép
airly	fesztelenül
airplane	repülôgép
airport	repülôtér
airscrew	légcsavar
airy	levegôs
aisle	oldalhajó
aisle	folyosó
ajar	félig nyitott
ajar	félig nyitva
akin	hasonló
alacrity	fürgeség
alarm	riadó
alarm	riasztóberendezés
alarm	riadalom
alarm	riaszt
alarmed	megrémül
Alaska	Alaszka
album	album
alcohol	alkohol
alcoholic	alkoholos
alcoholic	alkoholista
alcove	hálófülke
alderman	városatya
ale	világos sör
alert	éber
alert	riadó
alfalfa	lucerna
alga	alga
algebra	algebra
algebraic	algebrai
algorithm	algoritmus
alias	álnév
alibi	alibi
alien	idegen
alien	külföldi
alienable	elidegeníthetô
alienate	elidegenít
alienation	elidegenítés
align	sorakoztat
align	sorba állít
alignment	felsorakoztatás
alignment	csoportosítás
alike	hasonló
alike	ugyanúgy
alimony	tartásdíj
alive	élô
alive	élénk
all	egész
all	összes
all	mind
all	valamennyi
all	mindegyik
allay	csillapít
allay	enyhít
allegation	állítás
allege	állít
alleged	állítólagos
allegiance	állampolgári kötelezettség
allergy	allergia
alleviate	enyhít
alleviate	csillapít
alleviate	könnyít
alley	siktor
alley	köz
alliance	szövetség
allied	szövetséges
allocate	kioszt
allocate	kiutal
allocate	meghatároz (helyet)	
allocation	kiosztás
allocation	elhelyezkedés
allotment	veteményeskert
allow	megenged
allow	engedélyez
allow	nyújt
allow	elismer
allowable	megengedhetô
allowable	megengedett
allowance	engedmény
allowance	térítés
alloy	ötvözet
alloy	ötvöz
alloy	elegyít
allude	hivatkozik
allusion	utalás
allusion	hivatkozás
ally	szövetséges
ally	egyesít
ally	szövetkezik
almighty	mindenható
almond	mandula
almoner	alamizsnaosztó
almost	majdnem
aloft	fent
aloft	az árbócon
alone	egyedül
alone	kizárólag
along	mentén
along	tovább
alongside	hosszában
alphabet	ábécé
alphabetical	betûrendes
alpine	havasi
alps	Alpok
already	már
also	szintén
also	is
altar	oltár
alter	átalakít
alter	átalakul
alteration	átalakítás
alteration	átalakulás
altercation	perlekedés
alternate	változó
alternate	váltakozó
alternate	kölcsönös
alternate	helyettes
alternate	váltogat
alternate	váltakozik
alternately	felváltva
alternation	váltakozás
alternative	alternatív
alternative	vagylagos
alternative	lehetôség
alternative	választás
alternatively	vagylagosan
although	bár
although	habár
altitude	magasság
alto	alt
alto	mélyhegedû
altogether	teljesen
altogether	egészen
altogether	ôsszesen
altruism	önzetlenség
alum	tímsó
aluminium	alumínium
aluminum	alumínium
always	mindig
am	lenni
amalgamate	egybeolvaszt
amalgamation	egyesülés
amateur	amatôr
amateur	mûkedvelô
amaze	meghökkent
amaze	iámulatba ejt
amazed	ámuló
amazement	elképedés
amazement	meghökkenés
amazement	ámulat
amazing	meglepô
amazing	csodálatos
amazing	elképesztô
ambassador	nagykövet
ambassadress	nagykövetnô
amber	borostyánkô
ambience	környezet
ambience	légkör
ambient	környezô
ambiguity	kétértelmûség
ambiguous	kétértelmû
ambiguous	félreérthetô
ambition	nagyravágyás
ambition	becsvágy
ambitious	nagyravágyó
ambitious	becsvágyó
ambivalent	kétértékû
ambivalent	kétértelmû	
ambulance	mentôautó
ambulance	mentôszolgálat
ambush	les
ambush	lesbôl támad
ameliorate	jobbá tesz
amelioration	javulás
amend	jobbít
amend	módosít
amend	jó útra tér
amendment	módosítás
amendment	helyesbítés
amends	kárpótlás
amenity	kellem
America	Amerika
American	amerikai
amethyst	ametiszt
amiable	szeretetreméltó
amiably	barátilag
amicable	barátságos
amicably	barátilag
amicably	békésen
amid	között
amidst	közt
amiss	helytelenül
amity	barátság
ammoniac	ammóniás
ammunition	lôszer
among	között
among	közt
among	közé
amongst	között
amorous	szerelmi
amorphous	formátlan
amortization	amortizáció
amortization	törlesztés
amortize	törleszt
amount	összeg
amount	mennyiség
amounts	elér (összegszerûleg)
ampere	amper
amphibious	kétéltû
ample	bô
ample	elegendô
ample	terjedelmes
ample	tágas
amplification	bôvítés
amplification	erôsítés
amplifier	erôsítô
amplify	nagyít
amplify	erôsít
amplitude	bôség
amplitude	kilengés
amputate	amputál
amuse	szórakoztat
amuse	mulattat
amused	mulat
amusement	szórakozás
amusement	élvezet
amusing	szórakoztató
amusing	mulattató
amusing	élvezetes
an	egy
anaemia	vérszegénység
analog	analóg
analogous	hasonló
analogue	analóg
analogy	hasonlóság
analyse	elemez
analyse	vizsgál
analysis	elemzés
analysis	vizsgálat
analyst	elemzô
analytical	analitikus
anarchic	zûrzavaros
anarchy	anarchia
anatomical	anatómiai
anatomist	anatómus
anatomy	bonctan
ancestor	ôs
ancestor	elôd
ancestral	ôsi
ancestry	származás
anchor	horgony
anchorage	horgonyzóhely
anchovy	szardellapaszta
ancient	régi
ancient	ódon
ancient	ôsi
ancillary	alárendelt
and	és
anecdote	anekdota
anew	újra
anew	újból
angel	angyal
angelic	angyali
angelica	angyalgyökér
anger	harag
anger	felmérgesít
angle	szög
angle	sarok
angle	szempont
angler	horgász
angrily	haragosan
angrily	mérgesen
angry	mérges
angry	dühös
angry	gyulladt
anguish	gyötrelem
angular	szögletes
angular	darabos
animadversion	bírálás
animadversion	rosszallás
animadvert	bírálgat
animadvert	rosszall
animal	állat
animal	élôlény
animate	élô
animate	elevenít
animated	rajzfilm
animation	élénkség
animation	animáció
animosity	ellenségeskedés
animous	gyûlölet
ankle	boka
anklet	bokaperec
Ann	Anna
annex	épületszárny
annex	függelék
annex	bekebelez
annexation	elfoglalás
annexation	bekebelezés
annexation	hozzácsatolás
annihilate	megsemmisít
annihilation	megsemmisülés
anniversary	évforduló
annotate	jegyzetekkel ellát
annotate	jegyzetet készít
annotation	kommentár
announce	bejelent
announce	kihirdet
announcement	közlemény
announcement	bejelentés
announcement	hirdetmény
announcer	mûsorközlô
announcer	bemondó
annoy	bosszant
annoy	idegesít
annoyance	bosszúság
annoying	bosszantó
annoying	kellemetlen
annual	évenkénti
annual	éves
annual	évkönyv
annual	egynyári növény
annually	évenként
annuity	évjáradék
annul	megsemmisít
annul	érvénytelenít
annular	gyûrûs
annulment	megsemmisítés
anode	anód
anodyne	fájdalomcsillapító
anomalous	rendellenes
anomalous	rendhagyó
anonymity	névtelenség
anonymous	névtelen
anonymous	ismeretlen
another	más
another	másik
another	újabb
ansi	ANSI
answer	válasz
answer	megoldás
answer	válaszol
answer	megfelel (vmnek)
answerable	felelôs
answerable	megválaszolható
ant	hangya
antagonism	ellentét
antagonistic	ellentétes
antagonize	szembeszáll
Antarctica	déli-sark
antecedent	elsôbbség
antedate	korábbra keltez
antenna	antenna
antenna	csáp
antenna	tapintó szerv
anterior	megelôzô
anterior	elôbbi
anthracite	antracit
anthropology	embertan
antibody	ellenanyag
anticipate	megérez
anticipate	elôre lát
anticipate	elôrebocsát
anticipate	siettet
anticipated	idô elôtti
anticipated	elôrelátott
anticipated	remélt
anticipation	megelôzés
anticipation	elôrelátás
antics	bohockodás
antidote	ellenméreg
antidote	ellenszer
antipathetic	ellenszenves
antipathy	ellenszenv
antipodes	ellenlábasok
antiquated	elavult
antique	ókori
antique	antik
antiquity	az ókor
antiquity	antikvitás
antiseptic	fertôzésgátló
antonym	ellentétes értelmû szó
anxiety	aggodalom
anxiety	aggály
anxiety	szorongás
anxious	nyugtalan
anxious	aggódó
anxious	aggasztó
anxious	sóvár
any	akármi
any	valami
anybody	valaki
anybody	akárki
anybody	bárki
anyhow	valahogy
anyhow	akárhogy
anyhow	mindenesetre
anymore	többé
anyone	valaki
anyone	akárki
anything	bármi
anything	valami
anytime	akármikor
anytime	bármikor
anyway	valahogy
anyway	akárhogy
anyway	mindenesetre
anyway	különben is
anywhere	valahol
anywhere	bárhol
anywhere	akárhol
apart	félre
apart	vmn kívül
apart	szét
apartheid	faji elkülönités
apartment	szoba
apartment	lakás
apartments	lakosztály
apathy	fásultság
apathy	közöny
ape	majom
aperitif	apertif
aperture	nyílás
aperture	rés
apiculture	méhészet
apiece	egyenként
apish	majomszerû	
apologize	mentegetôzik
apologize	bocsánatot kér
apology	bocsánatkérés
apology	mentegetôzés
apostrophe	aposztróf
appal	megdöbbent
appalling	megdöbbnetô
apparatus	készülék
apparatus	berendezés
apparent	látható
apparent	nyilvánvaló
apparent	látszólagos
apparently	kétségtelenül
apparently	látszólag
appeal	fellebbezés
appeal	felhívás
appeal	fellebbez
appeal	folyamodik
appealing	könyörgô
appealing	rokonszenves
appear	megjelenik
appear	tûnik
appearance	megjelenés
appearances	látszat
appease	lecsillapít
appease	megbékít
appease	enyhít
appellate	fellebbviteli
appellation	megnevezés
append	ráakaszt
appendage	függelék
appendage	toldalék
appendices	vakbélgyulladás
appendix	függelék
appendix	toldalék
appendix	melléklet
appendix	vakbél
appertain	vonatkozik
appetite	étvágy
appetizer	étvágygerjesztô
appetizing	kívánatos
appetizing	étvágygerjesztô
applaud	tapsol
applaud	dicsér
applauded	tapsot kap
applause	taps
applause	tetszésnyilvánítás
apple	alma
applesauce	almaszósz
appliance	készülék
applicable	alkalmazható
applicant	pályázó
applicant	folyamodó
applicant	kérvényezô
application	alkalmazás
application	kérvény
application	szorgalom
application	igyekezet
applied	alkalmazott
apply	alkalmaz
apply	ráilleszt
apply	felrak
apply	folyamodik vkhez
apply	vonatkozik
appoint	kinevez
appoint	kijelöl
appointee	kinevezett személy
appointment	kinevezés
appointment	állás
appointment	megbeszélés
appointment	megbeszélt idôpont
appointments	berendezés
apportion	feloszt
apportion	kiutal
apportionment	felosztás
apportionment	kiutalás
appraisal	becsüs
appraise	becsül
appraise	értékel
appreciable	érezhetô
appreciable	észrevehetô
appreciably	észrevehetôen
appreciate	méltányol
appreciate	helyesen ítél meg
appreciate	felmegy az ára
appreciation	megbecsülés
appreciation	elismerés
appreciation	értéknövekedés
apprehend	megragad
apprehend	fél
apprehend	lefog
apprehension	megértés
apprehension	felfogás
apprehension	nyugtalanság
apprehension	elfogás
apprehensive	érteélmes
apprehensive	nyugtalan
apprentice	tanonc
apprentice	gyakornok
apprenticeship	tanoncság
apprenticeship	tanulóidô
approach	közeledés
approach	megközelítés
approach	bekötô út
approach	közeledik
approachable	megközelíthetô
approachable	hozzáférhetô
approaching	közeli
approaching	közeledô
approbation	jóváhagyás
approbation	helyeslés
appropriate	helyénvaló
appropriate	alkalmas
appropriate	kisajátít
appropriate	eltulajdonít
appropriate	elôirányoz
appropriations	kisajátítás
approval	jóváhagyás
approval	helyeslés
approve	helyesel
approximate	mehközelítô
approximate	hozzávetôleges
approximately	hozzávetôleg
approximately	körülbelül
approximation	közelítés
apricot	sárgabarack
apricot	kajszibarack
April	Április
apron	kötény
apron	forgalmi elôtér
apt	értelmes
apt	találó
aptitude	hajlam
aptitude	adottság
aptitude	rátermettség
aptly	talpraesetten
aptness	alkalmasság
aqua	víz
aquarious	Vízöntô
aqueduct	vízvezeték
aqueous	vizes
arbiter	irányítója vmnek
arbitrary	önkényes
arbitrary	tetszôleges
arbitrate	döntôbíróilag
