a	et
aluminium	aluminium
ambassador	ambassador
ambition	ærgjerrighet
ambitious	ærgjerrig
among, between	imellom
amplifier	forsterker
amplify, fortify, boost, intensify	forsterke
anchovy	ansjos
and	og
anger	sinne
anguish	kval
anguish, pain	pine
angular	vinkelformet
ankle	ankel
annex	tilføyelse
anniversary	årsdag
another	en annen
answer, respond, reply	svare
answering machine	telefonsvarer
ant	maur
antenna, ignite	antenne
anterior, formerly, former	tidligere
anthill	maurtue
anticipation	foregriping
anticipation	forutfølelse
anticipation, expectation	forventning
antidote	motgift
antique	antikk
anvil	ambolt
anxiety	engstelse
anxiety, disturbance	uro
apologetic	unnskyldende
appal	forskrekke
apparatus	apparat
apparently	tilsynelatende
appear	opptre
appear	vise seg
appendix	blindtarm
appendix	vedheng
apple	eple
appoint	fastsette
appoint	utnevne
appraise, evaluate	vurdere
apprentice, learner	lærling
approach	adkomst
approbation	bifall
approval	godkjenning
approve	godkjenne
approximate	omtrentlig
apricot	aprikos
April	april
aptitude, safety, security	sikkerhet
arbitrary	villkårlig
architect	arkitekt
ardent	brennende
ardent	ildfull
argue	argumentere
arm	arm
army	hær
arrangement	ordning
arrival	ankomst
arrive	ankomme
arrogance	hovmod
arrogant	hoven
arrow	pil
arson	brannstiftelse
arsonist, incendiary	brannstifter
art	kunst
artificial	kunstig
artisan	håndtverker
ascertain	finne ut
ascribe	tilskrive
ash-tray	askebeger
ask, enquire, inquire, quiz, ask	spørre
askance	på skjeve
asparagus	asparges
aspirin	globoid
assassin	snikmorder
assemble	komme sammen
assemble	montere
assent	samtykke
assert	hevde
assertion	påstand
assess	beskatte
associate	kollega
associate, liaison, connection, link	forbindelse
astonish	forbause
astonishing	forbausende
astound	forbløffe
astray	på villspor
astride	overskrevs
astute	slu
astute, acute	gløgg
asunder	i stykker
asylum	asyl
at present, now	nå
atrocious, dreadful, fearful, horrible	fryktelig
attach	knytte
attach	tillegge
attack	angrep
attack	angripe
attain, win, earn, gain	oppnå
attempt, try	forsøke
attend	betjene
attention	oppmerksomhet
attic	loft
attitude	holdning
attorney, advocate, lawyer, barrister	advokat
attribute	kjennetegn
audacious, foolhardy	dumdristig
audible	hørbar
August	august
aunt	tante
authentic	autentisk
authentic	ekte
author	forfatter
author	opphavsmann
authority, gouvernment	myndighet
automatic	automatisk
automobile, car, motor car, motor-car	bil
automoton	automat
autumn, fall, harvest, harvest	høst
available, available	disponibel
avarice	gjerrighet
avarice	griskhet
avenge	hevne
avenue	allé
average	gjennomsnitt
averse, loath	uvillig
avocation	bibeskjeftigelse
await, wait	vente
award	premie
awkward	keitet
awkward	klosset
awning	markise
awning	solseil
awry	forkjært
axe	øks
axis, axle	aksel
baby	spebarn
bachelor	ungkar
back	rygg
back	tilbake
background	bakgrunn
backpack, rucksack, knapsack	ryggsekk
backwards	baklengs
backwards	bakvendt
bacon	bacon
bacon	flesk
bacteria	bakterier
bad, nasty, poor, miserable	dårlig
baffle	forvirre
bag	pose
baggage, luggage	bagasje
baggy	posete
bagpipe	sekkepipe
bait	agn
bait	åte
bake	bake
baker	baker
bakery	bakeri
balcony	altan
balcony	balkong
bald	skallet
ball	ball
balloon	ballong
ballot	stemmeseddel
ballpoint pen	kulepenn
balm	balsam
balmy	skrullete
balmy, lenient, genial	mild
bamboo	bambus
banana	banan
bandage	bind
banish	forvise
bank	bank
banter	småerte
barb	brodd
barb	mothake
barbecue	grillfest
barbed wire	piggtråd
barber	barbermester
bargain	god handel
barge	lekter
barge	pram
barley	bygg
barn	låve
barracks	kaserner
barren	gold
barrow	trillebår
barter	byttehandel
basket	kurv
bat	balltre
bat	flaggermus
bath	bad
bathing suit	badedrakt
battery	batteri
battlefield	slagmark
bawl	brøle
bawl	skråle
bay	bukt
bay, inlet	vik
bazaar, market	torg
bazaar, warehouse	samvirkelag
be	være
be asleep, sleep, sleep	sove
beach	strand
beacon	sjømerke
bead, pearl	perle
beak	nebb
beam	ståle
beam, girder	bjelke
bean	bønne
bear	bjørn
beard	skjegg
beast	udyr
beastly	dyrisk
beastly, abominable, detestable, abhorrent	avskyelig
beautiful, fine	vakker
beautiful, judgement, fine	skjønn
beckon	vinke
bed, bed	seng
bedroom	soverom
bee	bie
beef	oksekjøtt
beet	bete
beetle	bille
beggar	tigger
behold	skue
behold, see, look, glance	se
beige	beige
being	skapning
belch	oppstøt
belch	rap
belligerent	krigførende
below, beneath, under	under
bench	benk
benefaction	velgjerning
benefit	gode
benevolent	velvillig
bent, curved	buktet
bequeath	testamentere
berth	ankerplass
besiege	beleire
bestow, grant, give	skjenke
bet, wager	vedde
betray	forråde
betroth	forlove
better	bedre
bewitch	forhekse
beyond	hinsides
bib	smekke
bicycle, bike, cycle	sykkel
bier	båre
big, large	stor
bigot, zealot, fanatic	fanatiker
bilberry	blåbær
billiards	biljard
binoculars	kikkert
bird	fugl
birth	fødsel
bitch	tispe
bitter	bitter
black	svart
black frost	barfrost
bladder, bubble	blære
blame	klandre
blanket	ullteppe
bleach	blekemiddel
bleat	breke
bleed	blø
blemish	skavank
blemish	skjemme
blend, mingle, shuffle, mix	blande
bless	velsigne
blind	blind
blind alley, cul-de-sac	blindvei
bliss	lykksalig
blister	blemme
blizzard	snøstorm
bloated	oppsvulmet
blond	blond
blood	blod
blot	flekk
blot	klatt
blouse	bluse
blowfly	spyflue
blubber, lard	spekk
blue	blå
blueprint	blåkopi
bluff	steil
bluff, fierce, harsh, gruff	barsk
blunder	bommert
blunt	likefram
blur	dimme
blush, flush	rødme
boar	villsvin
boast, brag	skryte
boat	båt
body	legeme
bog	myr
boil	koke
boisterois	støyende
bomb	bombe
bonnet	panser
book	bok
bookshop	bokhandel
borrow	låne
bosom	barm
bosom, chest, breast	bryst
bother	bryderi
bottle, flask	flaske
bouillon	buljong
boulder	kampestein
bounce	bykse
bounce	sprette
boutique, business, commerce, store, shop, trade	forretning
bowels	tarmer
bowels, entrails	innvoller
boy, lad	gutt
bra	bysteholder
bracelet	armbånd
braces, suspenders	bukseseler
brain	hjerne
braindead	hjernedød
brake lining	bremsebelegg
branch	gren
brandy, liquor	brennevin
brass	messing
brave	tapper
brave, courageous, gritty	modig
brawl	klammeri
brawl, fight	slagsmål
bread, loaf	brød
breadwinner	familieforsørger
breakable, fragile, brittle	skjør
breakfast	frokost
breath	pust
breath	ånde
brick	murstein
bride	brud
bridge	bro
bridle	bissel
bridle	tøyle
briefcase	dokumentmappe
brim	rand
bring	bringe
brisk, lively	livlig
broad	bred
broad-minded	tolerant
broad-minded	vidsynt
broadcast	kringkaste
broke	blakk
broker	mekler
bronchitis	bronkitt
bronze	bronse
brooch	brosje
brook	bekk
broom	kost
broom	sopelime
broth	kjøttkraft
broth, gravy	sjy
brother	bror
brother-in-law	svoger
brown	brun
brush	børste
bucket	bøtte
bucket	spann
buckle	spenne
buffet	bar
buffoon	bajas
building	bygning
bullet	kule
bulwark	skansekledning
burden	byrde
bureau	byrå
burglar	innbruddstyv
burial, funeral	begravelse
burrow, den, lair	hule
bury	begrave
bus stop, busstop	buss-stopp
bustle	travelhet
busy	travel
busy, engaged, busy	opptatt
butcher	slakter
butler, headwaiter	hovmester
butter	smør
butterfly	sommerfugl
buttock	rumpeballe
button	knapp
buxom	trivelig
buxom, lush	yppig
bye, adieu, goodbye, good-bye	farvel
cab-stand	drosjeholdeplass
cabaret	kabaret
cabbage	kål
cabin	hytt
cabin	kahytt
cabin	lugar
cable, hawser	kabel
cackle	kakle
cackle, quack	snadre
cafe	kafé
cairn	varde
cake	kake
calculation, bill	regning
calendar	kalender
calf	kalv
calf	legg
calico	bomullslærret
call box, telephone booth, telephone kiosk	telefonkiosk
call, summon	kalle
callisthenics	holdningsgymnastikk
callous, harsh, hard	hard
calm	vindstille
calm, quiet, easy	rolig
camel	kamel
camera	fotoapparat
camera	kamera
camping ground, camping site	leirplass
camshaft	kamaksel
canal, channel	kanal
cancer	kreft
candid, frank, ingenuous	oppriktig
candle, light	lys
canopy	baldakin
canyon	juv
canyon	slukt
capacity	kapasitet
capsule	kapsel
captain	kaptein
caption	billedtekst
carburettor	forgasser
carcase	kadaver
cardboard	kartong
cardigan	strikkerjakke
caress, fondle	kjærtegne
carnation	nellik
carnivorous	kjøttetende
carpenter	snekker
carpet, blanket	teppe
carriage, carriage, wagon, railway carriage, coach	vogn
carrion	åtsel
carrot	gulrot
carry, wear	bære
cartridge	patron
carve	hogge ut
carve, cut, slice	skjære
cascade	liten foss
casette-player	kasett-spiller
cash money	kontanter
cashier	kasserer
castaway	skibbrudden
castle, palace	slott
castor-oil	lakserolje
cat	katt
catalogue	katalog
catch	oppfatte
catch, grab, grapple, grasp, capture, grip	gripe
catch, incur	pådra seg
caterpillar	gravemaskin
cathedral	domkirke
cathedral, cathedral	katedral
cattle	storfe
cauldron, kettle, boiler	kjele
cauliflower	blomkål
caution, caution	forsiktighet
cautious	varsom
cautious, careful, cautious, guardedly	forsiktig
cavern	stor hule
cavern, cave, grotto, den	grotte
cavity	hulrom
cd-player	cd-spiller
cease, decrease, lessen, decline	avta
cease, fold up	opphøre
cellar, basement	kjeller
center	sentrum
central heating	sentralvarme
century, centennial	århundre
ceremonial	seremoniell
certain	sikker
certain	viss
certificate	attest
certificate	sertifikat
chain	kjede
chair	stol
chairman	formann
chalk	kritt
challenge	utfordring
chamber, room	værelse
chamber, room, space	rom
chandelier	lysekrone
change	forandre
change	veksle
chant	messe
chant	sang
chap	kar
chap	sprekk
chap, beacon	fyr
chapter	kapitel
charcoal	trekull
charitable	nestekjærlig
charity	nestekjærlighet
charity	veldedighet
charwoman	vaskehjelp
chase, hound	jage
chauvinism	sjåvinisme
cheat	jukse
check, cheque	sjekk
checkers	damspill
cheek, cheek	kinn
cheeky	frekk
cheese	ost
chemist's shop, drugstore	apotek
chemistry	kjemi
chequered, checked	rutet
cherish	sette høyt
cherish	verne om
cherry	kirsebær
chervil	kjørvel
chess	sjakk
chew	tygge
chewing gum	tyggegummi
chicken, chick	kylling
chicken, hen	høne
chief	høvding
child	barn
chiropodist	fotpleier
chisel	meisel
chivalrous	ridderlig
chive	gressløk
chocolate	sjokolade
choke	kvele
chop, hew	hogge
christen	døpe
christening	dåp
christmas	jul
Christmas eve	julaften
chronological	kronologisk
chubby	lubben
cigar	sigar
cigarette, fag	sigarett
cinder	slagg
cine	smalfilm
cinema, movie theatre	kino
circle	sirkel
circuit	omkrets
circumcise	omskjære
circumference	periferi
circumstance	omstendighet
citizen	borger
city, town	by
clam	musling
clammy, humid, damp	fuktig
clamorous	larmende
clamp	spenne fast
clamp, hug, cuddle	klemme
clasp, hook	hekte
clavicle	krageben
clay	leire
clean, pure	ren
clench	presse sammen
clerk	kontorist
client	klient
cliff	skrent
climate	klima
climb	klatre
clinch, hug, embrace, clasp	omfavne
clock	ur
clock, bell	klokke
clog	tresko
clothes	klær
clothing	kledning
cloud	sky
clove	fedd
clover, shamrock	kløver
cluster	hop
coach	trener
coal, hatch, litter	kull
cobble	brolegge
cobble	reparere
cobweb	spindelvev
cock	hane
cockroach	kakerlakk
cocoa	kakao
cocoon	kokong
codfish	torsk
codliver oil	tran
coffee	kaffe
coffee-machine	kaffetrakter
coffeegrounds	kaffegrut
coffin	kiste
cogwheel	tannhjul
cohabitant	samboer
cohesive	sammenhengende
coil	kveil
coil	spiral
coin	mynt
coincidence	sammentreff
colander	dørslag
colitis	tykktarmbetennelse
collaborate	samarbeide
collapse	sammenbrudd
collar	krage
collar	snipp
collection, assemblage	samling
colon	tykktarm
colonel	oberst
colt, foal	føll
column	kolonne
column	søyle
comb	kjemme
combustible	lett antennelig
combustion, incineration	forbrenning
come	komme
come to an end, expire, expire, end	utløpe
comedian	komiker
comfort, convenience	bekvemmelighet
commence, begin, start	begynne
commend	anbefale
commend	rose
commission, errand, mission	oppdrag
common	felles
common	vanlig
common, general	alminnelig
communication-cord	nødbremse
commute	pendle
compact disc	kompakt disk
compass	kompass
compassion	medlidenhet
compatibility	forenlighet
compatriot	landsmann
compelling	tvingende
compensate	erstatte
compensate	kompensere
compete	konkurrere
competition	konkurranse
complacency	selvtilfredshet
complacent	selvtilfreds
complaisant, docile	føyelig
complex	sammensatt
complexion	hudfarge
complicate, entangle	komplisere
complicity	delaktighet
concerned	bekymret
concert	konsert
conciliate, accord	forsone
conciliation	forsoning
concise	konsis
concise	kortfattet
concord, accord	enighet
concrete	betong
concrete	konkret
concur	stemme overens
concurrent	sammenfallende
concussion	hjernerystelse
condemn	kondemnere
condescend	nedlate seg
condescending	nedlatende
condition	betingelse
condition	tilstand
cone	kjegle
confectionery	konditori
confederacy, federation, league	forbund
confess	skrifte
confess	tilstå
confirm, affirm	bekrefte
confirmation	bekreftelse
confounded	forbasket
congeal	størkne
congestion	opphopning
congratulate	gratulere
conic	kjegleformet
conifer, conifer	nåletre
conjure	trylle
conquer	seire
conquer, capture	erobre
conscience	samvittighet
conscious	bevisst
consciousness	bevissthet
conscript	verneplikt
consecrate	vigsle
consequence	konsekvens
conservation	bevaring
consider	overveie
considerable	betydelig
considerate	hensynsfull
consideration	hensyn
consideration	overveielse
consist	bestå
consolidate	trygge
conspicuous	iøynefallende
conspiracy	sammensvergelse
constable	konstabel
consternation	forskrekkelse
constipate	forstoppe
constipation	forstoppelse
constituency	valgkrets
constrained	anstrengt
consulate	konsulat
contact	kontakt
contagous, infectious	smittsom
contaminate	forurense
contamination	forurensning
contemporary	samtidig
contempt	forakt
context, coherence	sammenheng
continent	kontinent
continent	verdensdel
continue	fortsette
contraception	prevensjon
contraction	sammentrekning
contradict	motsi
contradiction	motsigelse
contrary	motsatt
contribute	bidra
contrivance	påfunn
convenient	bekvemt
conversion	forvandling
convey	føre
convey, impart	formidle
convict, catch, catch, capture, grapple	fange
convince	overbevise
cool	kjøle
cool	kjølig
copper	kopper
copperplate	kopperstikk
copulate	pare seg
copy	avskrift
copy	kopi
core, gist, churn, heart	kjerne
cork	kork
cork	korke
corkscrew	korketrekker
cornea	hornhinne
corner	hjørne
cornet, biscuit	kjeks
coronation	kroning
corpuscle	blodlegeme
correct	korrigere
correct	rette
correct, right	riktig
corrode	ruste
corrosion	korrosjon
corrosion, rust	rust
corrosive	etsende
corrugate	bølge
corrugate	rifle
corrugated iron	bølgeblikk
corrupt	fordervet
corrupt	korrupt
cosy	koselig
cot	barneseng
cotdeath	krybbedød
cottage	lite hus
cotton, wadding	bomull
cough	hoste
council	forsamling
council, advice	råd
count	telle
count, earl	greve
counteract	motvirke
counterbalance	motvekt
counterfeit, adulterate, fake, falsify	forfalske
counterfeit, falsification, fake	forfalskning
counterpart	motstykke
countess	grevinne
countryman, farmer, peasant	bonde
county	fylke
coupe, compartment	kupé
couple, pair	par
courage, from, grit, across from, opposed to	mot
course	bane
course	kurs
course, lapse	forløp
court	domstol
courteous	høflig
courteoussy	høflighet
cousin	fetter
cover	skjul
cover, jacket	omslag
cover, lid	deksel
covetous, hungrily	begjærlig
cow	ku
coward	feiging
cowardice	feighet
cowberry	tyttebær
crab	krabbe
crackle	knitre
crackle	sprake
cradle	vugge
cram	pugge
cram	stappe
cramp	krampe
cranberry	tranebær
crane	kran
crane	trane
crank	sveiv
crankshaft	veivaksel
crate, money box, money-box, cashier's stand, till	kasse
crayfish	kreps
craze	mani
creak	knirke
cream	fløte
create	skape
creation	skapelse
creativity	kreativitet
creativity	skaperevne
creator	skaper
credibility	troverdighet
credit	kreditt
credulous, gullible	godtroende
creed	trosbekjennelse
cremate	kremere
crescent	halvmåne
crescent	halvmåneformet
cress	karse
crew	mannskap
crick	forstrekke
crick	kink
cripple	krøpling
crisis	krise
crisp, crazy, freaky, brittle	sprø
croak	kvekke
crockery	stentøy
crockery set	servise
cross	kors
cross, intersect	krysse
crossroads	veikryss
crotch	skritt
crouch	krøke sammen
crow	kråke
crowbar	brekkjern
crowded	overfylt
crucial, decisive	avgjørende
crucifixion	korsfestelse
cruel	grusom
cruelty, atrocity	grusomhet
crumb	smule
crunch	knase
crush	knuse
crust	skorpe
crust, host	skare
crutch	krykke
cry	grine
cry	gråte
cube, dice	terning
cuckoo	gjøk
cucumber	agurk
cucumber	slangeagurk
cue, queue	kø
culprit	gjerningsmann
cultivate	kultivere
cultivate, grow	dyrke
cultural	kulturelt
cumbersome	besværlig
cunning	utspekulert
cup	kopp
cupboard	kjøkkendisk
curable	helbredelig
curb, kerb	fortauskant
curettage	utskrapning
curfew	portforbud
curiosity	nyskjerrighet
curious, inquisitive	nyskjerrig
curl, crumple	krølle
curler	papiljott
currency	valuta
current	aktuell
curriculum	pensum
curriculum	undervisningsplan
curse	forbanne
curse	forbannelse
cursor	markør
curt	brysk
curtail	skjære ned på
curtain	gardin
curve	kurve
curve	sving
cushion	pute
custard	vaniljesaus
custom	skikk
custom-house	tollbod
custom-house	tollkontor
customer	kunde
cutler	knivsmed
cutlet	kotelett
cuttle	blekksprut
cylinder phonograph, gramophone	grammofon
cylinder, roller	sylinder
cynic	kyniker
cynical	kynisk
daffodil	påskelilje
dagger	dolk
daily	daglig
dairy	meieri
daisy	tusenfryd
damp, clammy	klam
dance	dans
dandelion	løvetann
dandruff	flass
dandy	laps
danger, jeopardy, peril, hazard	fare
dangerous	farlig
dangle	dingle
Danish	Dansk
dare, hazard	våge
daring	dristig
daring	vågal
dark	mørk
dark	mørkt
dark blue	mørkeblå
darken	mørkne
darkness	mørke
darling	elskling
dash	skvett
date	daddel
date, rendezvous, accommodation, agreement, fix	avtale
daub	klatte
daub	smøreri
daughter	datter
daunting	skremmende
dawn	daggry
day	dag
dazed	omtumlet
dead, death	død
deaf	døv
deafening	øredøvende
deafmute	døvstum
deafness	døvhet
deal	handel
dear	kjær
dear, expencive, valuable, pricey, expensive	kostbar
death	døden
debark, disembark	landsette
debate	debatt
debit	debet
debt	gjeld
debtor	debitor
decade	tiår
decadent	i forfall
decanter	karaffel
decay	forråtnelse
deceit, imposition, deception	bedrag
December	desember
decency	sømmelighet
decent	skikkelig
decent	sømmelig
deceptive	villedende
decipher	omsette
decision	avgjørelse
declaration	erklæring
declare	erklære
decline, decrease	nedgang
decorate	dekorere
decoration	dekorasjon
decoration, finery	pynt
decoy	lokkefugl
decrease	redusere
decree	forordne
decrepit	avfeldig
dedicate	tilegne
dedication	tilegnelse
deduce, derive	utlede
deduce, quit	slutte
deduct, discount	trekke fra
deduction	fradrag
deed	gjerning
deer, hart	hjort
defeat	nederlag
defect	hoppe av
defection	avhopp
defector	avhopper
defence	forsvar
defend, justify	forsvare
defendant	saksøkt
defensive	defensiv
defensive	i forsvar
defiance	trass
defiant, dogged	trassig
deficient, defective, imperfect, faulty	mangelfull
deficit	underskudd
define	definere
definite	bestemt
definition	definisjon
definitive	definitiv
deflect	bøye av
deforest	avskoge
deforestation	avskoging
deform	misdanne
deformed	misdannet
deformed	vanskapt
deformity	misdannelse
defrost	avrime
deft	netthendt
defuse	uskadeliggjøre
defy	utfordre
defy, hawser	trosse
degenerate	utarte
degeneration	utarting
degradation	degradering
degrade	degradere
degrade	fornedre
degree, examination	eksamen
degree, grade	grad
dejected, low	nedslått
delay	forsinke
delay	utsettelse
delegate	delegere
deliberate	overlagt
delicacy	finfølelse
delicacy	lekkerbisken
delicate	fintfølende
delicate	sart
delicate, dainty	delikat
delicious, lovely	deilig
delightful	herlig
delinquency	lovovertredelse
deliquent	lovovertreder
delirious	feberfantasere
delivery	levering
delude	villede
delude, frame, dupe, fool	narre
delusion	vrangforestilling
delusion, illusion	illusjon
demand	etterspørsel
demand	krav
demand, claim	fordre
demand, claim	kreve
demeanour, conduct, deportment, behaviour	oppførsel
democracy	demokrati
demolish	rive ned
demolition	nedriving
demonstrate	demonstrere
demure	anstendig
denial	avslag
denial	benektelse
denigh	nekte
denounce	angi
denounce, condemn	fordømme
denounce, discredit, flunk	avvise
dense	dum
dense	tett
density	tetthet
dent	bulk
dent	bulke
dental floss	tanntråd
dentalist, dentist	tannlege
denture	gebiss
denunciation	angiveri
denunciation	fordømmelse
deny	benekte
deny, decline	avslå
depart	avgå
departed, deceased	avdød
department	departement
Department of Justice	justisdepartementet
department, branch, section, compartment	avdeling
departure	avgang
depend	avhenge
depend	stole på
dependable	pålitelig
dependence	avhengighet
depict	avbilde
depict	skildre
depletion	tømming
depletion	uttynning
deplorable, lamentable	beklagelig
deplore, lament	beklage
depopulate	avfolke
deport	deportere
depose	avsette
depose	vitne
deposit	avleiring
deposit	deponere
deposit	depositum
deposit	innskudd
depreciate	nedvurdere
depreciate	synke i verdi
depreciation	avskrivning
depreciation	verdiforringelse
depress	trykke ned
depressed, glum	nedtrykt
depression	depresjon
depression	nedtrykking
deprive, dispossess	berøve
depth	dybde
deputize	vikariere
deputy	stedfortreder
derail	spore av
derailment	avsporing
derision	hån
derogatory	nedsettende
derrick	boretårn
derrick	lastebom
derrick	lossebom
descend	stamme fra
descend	stige ned
descendant	etterkommer
describe	beskrive
description	beskrivelse
description	signalement
desecrate	skjende
desecrate	vanhellige
desert	desertere
desert	ørken
desertion	desertering
deserving	fortjenstfull
desirable	ønskelig
desire	begjære
desire	ønske
desire, lust	begjær
desk	pult
desk	skranke
desolate	ulykkelig
desolate, gaunt	øde
despair	fortvile
despair	fortvilelse
desperate	desperat
desperate, despairing	fortvilet
despite	til tross for
despite, grudge	nag
despondency	motløshet
despondent	motløs
dessert	dessert
destination	bestemmelsessted
destined	forutbestemt
destiny, fortune, lot, fate	skjebne
destitute	nødlidende
destitute, devoid	blottet for
destitution, distress	nød
destroy, devastate	ødelegge
destruction, havoc	ødeleggelse
destructive	ødeleggende
detach	ta av
detached	frittliggende
detached, disconnected	frakoplet
detachment	løsgjøring
detail	detalj
detailed	detaljert
detailed	inngående
detain	holde tilbake
detain	oppholde
detect, discover	oppdage
detective	detektiv
detention	arrest
detention	forvaring
detergent	vaskemiddel
deteriorate	forverres
determination	besluttsomhet
determination	bestemmelse
determine, decide	bestemme
detixification	avvenning
detonation	detonasjon
detour	omvei
detoxify	av-gifte
detrimental, harmful, injurious	skadelig
devaluation	devaluering
devalue	devaluere
devastate	herje
develop	utvikle
development	fremkalling
development, generation	utvikling
deviate, depart, deflect	avvike
devious	underfundig
devise	tenke ut
devoid, disengaged, free	fri
devote	vie
devoted	hengiven
devotion	fromhet
devotion, affection	hengivenhet
dew	dugg
dew	dugge
dexterity	behendighet
dexterous	hendig
diabetes	sukkersyke
diabetic	diabetiker
diagnose	diagnostisere
diagnosis	diagnose
diagram, plane, map, plan, design	bykart
dial	nummerskive
dial	slå telefonnummer
dial	urskive
dialect	dialekt
dialect	målføre
dialling code	retningsnummer
dialling tone	summetone
diamond	diamant
diaphragm	blender
diaphragm	mellomgulv
diaphragm	pessar
diarrhoea	diaré
diary, journal	dagbok
didactic	belærende
didactic	didaktisk
die, depart	dø
diet	diett
differ	være forskjellig
difference, distinction, disparity	forskjell
different	forskjellig
diffuse, dissipate, disperse, dispel	spre
diffusion, dissipation	spredning
digest	fordøye
digestible	førdøyelig
digestion	fordøyelse
dignified	ærverdig
dignity	verdighet
digress	komme bort fra emnet
dike, embankment, dam	demning
dilapidated	falleferdig
diligence	flid
dilute	fortynne
dimension, gauge	dimensjon
diminution	forminskelse
dimple	smilehull
din	bråke
dingy	snusket
dining-car	spisevogn
dining-room	spisestue
dining-table	spisebord
diocese	bispedømme
dip	dukkert
dip, immerse	dyppe
dipper	nedblendingskontakt
dipswitch	dimbryter
direct	direkte
direct	rettlede
direct-current	likestrøm
direction	retning
direction, lead, leadership	ledelse
director	direktør
director	styremedlem
directory	adressebok
disability	uførhet
disadvantage, inconvenience	ulempe
disadvantageous	ufordelaktig
disagree	ikke stemme overens
disagree	være uenig
disagreeable	ubehagelig
disappear	forsvinne
disappearance	forsvinning
disappoint	skuffe
disappointed	skuffet
disappointment, frustration	skuffelse
disarm	avvæpne
disarm	nedruste
disarmament	avvæpning
disarmament	nedrustning
disassembly	demontering
disaster, calamity	katastrofe
disastrous	katastrofal
disastrous	ulykksalig
disbelief	tvil
disbelief, infidelity, infidel, incredulous	vantro
disbelieve, distrust	mistro
discdrive	diskettstasjon
